season	id	name	createdate	origin	is_paid	round_start	id_user
2017/18	1	Avalon	2017-07-26 23:37:58.093	TESTES BNG	0	0	760460
2017/18	4	The Flash	2017-07-28 17:03:59.923	TESTES BNG	0	0	760462
2017/18	5	Vibe	2017-07-28 17:15:14.020	C‡DIGO OFERTA AMIGO	0	0	760462
2017/18	12	capita74	2017-08-01 12:00:16.753	REVISTA	1	0	760499
2017/18	17	Epluribusunum1904	2017-08-01 12:00:49.560	REVISTA	1	0	762992
2017/18	21	Le‰es Team	2017-08-01 12:01:21.147	REVISTA	1	0	766593
2017/18	26	Fen¢menos FC	2017-08-01 12:01:35.280	REVISTA	1	0	764130
2017/18	27	Nhaaaga FC	2017-08-01 12:01:37.477	REVISTA	1	0	760473
2017/18	31	FSC 	2017-08-01 12:01:47.620	REVISTA	1	0	760761
2017/18	33	Brincanaareia	2017-08-01 12:02:00.823	REVISTA	1	0	760634
2017/18	35	TASKA TEAM	2017-08-01 12:02:19.210	REVISTA	1	0	761620
2017/18	37	CarregaLatas	2017-08-01 12:02:23.147	REVISTA	1	0	760553
2017/18	38	Sporting Clube Real 	2017-08-01 12:02:24.240	REVISTA	1	0	763809
2017/18	40	Borussia Doutromundo	2017-08-01 12:02:34.260	REVISTA	1	0	760817
2017/18	48	Spartak de Mogege	2017-08-01 12:02:54.277	REVISTA	1	0	780365
2017/18	49	Arcadia	2017-08-01 12:02:58.830	REVISTA	1	0	761021
2017/18	55	P.M. TEAM	2017-08-01 12:03:08.990	C‡DIGO OFERTA 3+1	0	0	760761
2017/18	57	Arrebenta Canelas FC	2017-08-01 12:03:16.290	REVISTA	1	0	760503
2017/18	59	Fumar Mata	2017-08-01 12:03:22.023	REVISTA	1	0	761698
2017/18	61	ABUTRES	2017-08-01 12:03:36.783	REVISTA	1	0	761068
2017/18	63	FCP.CASTRO	2017-08-01 12:03:42.473	REVISTA	1	0	762967
2017/18	75	ALTPREZNOIVE	2017-08-01 12:04:15.310	REVISTA	1	0	761068
2017/18	78	RAFA FC	2017-08-01 12:04:18.783	REVISTA	1	0	762374
2017/18	80	Constantinense	2017-08-01 12:04:22.480	REVISTA	1	0	769054
2017/18	82	Brutais da Serra	2017-08-01 12:04:27.213	REVISTA	1	0	760617
2017/18	84	BABALUS	2017-08-01 12:04:40.293	REVISTA	1	0	761068
2017/18	86	Mouros79	2017-08-01 12:04:41.550	REVISTA	1	0	765836
2017/18	92	Fura redes	2017-08-01 12:04:57.840	REVISTA	1	0	762852
2017/18	95	BACALHAU COM NATAS	2017-08-01 12:05:14.330	C‡DIGO OFERTA 3+1	0	0	761068
2017/18	99	NBA - N∆o Bebas µgua	2017-08-01 12:05:24.050	REVISTA	1	0	760803
2017/18	102	#EPluribusCorruptum	2017-08-01 12:05:29.697	REVISTA	1	0	760532
2017/18	106	SL Caparica	2017-08-01 12:05:53.773	REVISTA	1	0	769159
2017/18	108	EL PEPITO	2017-08-01 12:05:57.073	REVISTA	1	0	760619
2017/18	109	Caricas79	2017-08-01 12:05:57.767	REVISTA	1	0	765836
2017/18	110	#IstoêPorto	2017-08-01 12:06:00.610	C‡DIGO OFERTA 3+1	0	0	760532
2017/18	111	Bora 1.9 Tdi	2017-08-01 12:06:02.513	REVISTA	1	0	765286
2017/18	123	#S¢_Tugas	2017-08-01 12:06:49.360	REVISTA	1	0	760532
2017/18	126	BOLAS DE BERLIM F.c.	2017-08-01 12:07:06.910	REVISTA	1	0	762090
