season,date,home,visitor,goals_home,goals_visitor
201819,2019-05-19 00:00:00,FC Porto,Sporting,,
201819,2019-03-02 00:00:00,FC Porto,Benfica,1,2
201819,2019-02-03 00:00:00,Sporting,Benfica,2,4
201819,2019-01-12 00:00:00,Sporting,FC Porto,0,0
201819,2018-10-07 00:00:00,Benfica,FC Porto,1,0
201819,2018-08-25 00:00:00,Benfica,Sporting,1,1
201718,2018-05-05 00:00:00,Sporting,Benfica,0,0
201718,2018-04-15 00:00:00,Benfica,FC Porto,0,1
201718,2018-03-02 00:00:00,FC Porto,Sporting,2,1
201718,2018-01-03 00:00:00,Benfica,Sporting,1,1
201718,2017-12-01 00:00:00,FC Porto,Benfica,0,0
201718,2017-10-01 00:00:00,Sporting,FC Porto,0,0
201617,2017-04-22 00:00:00,Sporting,Benfica,1,1
201617,2017-04-01 00:00:00,Benfica,FC Porto,1,1
201617,2017-02-04 00:00:00,FC Porto,Sporting,2,1
201617,2016-12-11 00:00:00,Benfica,Sporting,2,1
201617,2016-11-06 00:00:00,FC Porto,Benfica,1,1
201617,2016-08-28 00:00:00,Sporting,FC Porto,2,1
201516,2016-04-30 00:00:00,FC Porto,Sporting,1,3
201516,2016-03-05 00:00:00,Sporting,Benfica,0,1
201516,2016-02-12 00:00:00,Benfica,FC Porto,1,2
201516,2016-01-02 00:00:00,Sporting,FC Porto,2,0
201516,2015-10-25 00:00:00,Benfica,Sporting,0,3
201516,2015-09-20 00:00:00,FC Porto,Benfica,1,0
201415,2015-04-26 00:00:00,Benfica,FC Porto,0,0
201415,2015-03-01 00:00:00,FC Porto,Sporting,3,0
201415,2015-02-08 00:00:00,Sporting,Benfica,1,1
201415,2014-12-14 00:00:00,FC Porto,Benfica,0,2
201415,2014-09-26 00:00:00,Sporting,FC Porto,1,1
201415,2014-08-31 00:00:00,Benfica,Sporting,1,1
