agegroup,gender,club,district,visitas,rank_total_final,equipas
25-34,Masculino ,Sporting,Santarém,756,11046,1
45-54,Masculino ,Benfica,Castelo Branco,1104,1009,4
45-54,Masculino ,Benfica,Setúbal,1024,643,2
64,Masculino ,Benfica,Lisboa,580,1730,1
35-44,Feminino  ,Benfica,Braga,392,10062,1
55-64,Masculino ,Sporting,Beja,2080,463,22
15-24,Masculino ,Sporting,Évora,368,19744,1
45-54,Masculino ,Sporting,Faro,644,3261,1
55-64,Masculino ,Sporting,Porto,544,2421,4
45-54,Masculino ,Benfica,Lisboa,3436,81,10
55-64,Feminino  ,Benfica,Lisboa,1212,383,16
45-54,Masculino ,Sporting,Lisboa,1128,860,12
55-64,Masculino ,Benfica,Porto,392,7400,11
64,Masculino ,Sporting,Castelo Branco,1296,576,4
64,Masculino ,Sporting,Évora,1208,8682,20
35-44,Masculino ,FC Porto,Porto,832,5426,1
15-24,Masculino ,Benfica,Porto,444,24560,1
45-54,Masculino ,Benfica,Lisboa,1496,959,1
35-44,Masculino ,Benfica,Lisboa,1212,1582,7
35-44,Masculino ,Benfica,Porto,1180,2382,2
64,Masculino ,Benfica,Leiria,1264,2690,5
35-44,Masculino ,Benfica,Viseu,748,364,4
35-44,Masculino ,Sporting,Lisboa,420,10277,1
35-44,Feminino  ,Benfica,Bragança,1956,3656,2
35-44,Masculino ,Benfica,Beja,512,13721,1
35-44,Masculino ,FC Porto,Aveiro,872,9959,1
55-64,Masculino ,Benfica,Castelo Branco,504,844,6
35-44,Masculino ,FC Porto,Porto,1192,1175,1
35-44,Masculino ,Benfica,Setúbal,640,1413,5
55-64,Feminino  ,Benfica,Lisboa,916,818,1
55-64,Masculino ,Sporting,Coimbra,392,28697,1
45-54,Masculino ,FC Porto,Viana do Castelo,516,19778,1
25-34,Masculino ,Sporting,Beja,424,18667,1
25-34,Masculino ,Sporting,Beja,1448,469,1
45-54,Masculino ,Benfica,Faro,844,5250,1
25-34,Masculino ,Benfica,Aveiro,440,5510,3
25-34,Masculino ,Benfica,Leiria,672,17298,1
35-44,Feminino  ,Benfica,Setúbal,1084,3594,1
35-44,Masculino ,FC Porto,Aveiro,368,17534,2
35-44,Feminino  ,Benfica,Faro,760,6442,1
45-54,Masculino ,FC Porto,Leiria,1040,13121,1
45-54,Masculino ,Sporting,Porto,680,3173,5
55-64,Masculino ,Benfica,Lisboa,180,18172,1
25-34,Feminino  ,Sporting,Braga,820,11642,1
25-34,Masculino ,Benfica,Beja,256,19468,1
25-34,Masculino ,Benfica,Portalegre,820,3262,1
35-44,Masculino ,Benfica,Santarém,388,14326,1
35-44,Masculino ,FC Porto,Porto,748,3581,1
45-54,Masculino ,Benfica,Viseu,1044,2113,6
35-44,Masculino ,Sporting,Guarda,892,9671,2
35-44,Masculino ,Benfica,Coimbra,408,7591,1
35-44,Feminino  ,FC Porto,Faro,172,14224,1
45-54,Masculino ,Sporting,Lisboa,368,3353,2
35-44,Masculino ,Benfica,Faro,496,557,2
55-64,Feminino  ,Benfica,Castelo Branco,424,3951,1
25-34,Feminino  ,Sporting,Castelo Branco,404,10365,1
35-44,Masculino ,Benfica,Setúbal,704,4868,1
45-54,Masculino ,Benfica,Lisboa,1784,36,1
45-54,Masculino ,Benfica,Lisboa,1272,971,11
35-44,Masculino ,FC Porto,Santarém,856,2919,1
25-34,Masculino ,Sporting,Lisboa,1484,122,1
25-34,Masculino ,Benfica,Aveiro,512,3676,1
35-44,Masculino ,Benfica,Lisboa,336,6929,1
35-44,Feminino  ,Sporting,Lisboa,428,5023,3
25-34,Masculino ,Sporting,Setúbal,540,2805,1
35-44,Feminino  ,Benfica,Portalegre,564,3775,3
15-24,Masculino ,Benfica,Faro,1024,2286,1
15-24,Masculino ,Benfica,Faro,1616,102,1
35-44,Masculino ,Sporting,Santarém,1140,4527,1
64,Masculino ,Sporting,Lisboa,504,20450,2
64,Masculino ,Benfica,Lisboa,1456,579,1
45-54,Masculino ,Sporting,Lisboa,124,30808,1
35-44,Masculino ,Sporting,Lisboa,476,12559,1
35-44,Masculino ,FC Porto,Évora,616,9078,1
45-54,Masculino ,Sporting,Évora,288,14132,1
25-34,Masculino ,FC Porto,Porto,808,17753,1
45-54,Masculino ,Benfica,Viseu,912,810,1
64,Masculino ,Sporting,Lisboa,420,18024,1
45-54,Masculino ,Sporting,Castelo Branco,456,24284,1
25-34,Masculino ,Sporting,Beja,236,17392,1
25-34,Masculino ,FC Porto,Porto,968,4003,5
45-54,Masculino ,Sporting,Leiria,552,6525,1
45-54,Masculino ,Sporting,Santarém,324,4856,14
55-64,Masculino ,Benfica,Porto,1384,7153,1
64,Masculino ,Benfica,Porto,396,12879,1
25-34,Masculino ,FC Porto,Porto,612,2851,1
55-64,Feminino  ,Sporting,Portalegre,948,24,76
25-34,Masculino ,Benfica,Lisboa,656,287,1
55-64,Masculino ,Sporting,Lisboa,444,22354,1
25-34,Masculino ,Benfica,Leiria,1248,569,1
15-24,Masculino ,Benfica,Ilha da Madeira,528,14035,1
25-34,Masculino ,FC Porto,Porto,676,6741,1
15-24,Masculino ,Benfica,Lisboa,388,21800,1
