agegroup,gender,club,district,visitas,rank_total_final,equipas,equipas_epoca_seguinte
45-54,Masculino ,Benfica,Castelo Branco,1288,26257,4,6
45-54,Masculino ,Sporting,Leiria,544,6636,1,2
25-34,Masculino ,Sporting,Lisboa,788,50111,36,43
15-24,Masculino ,Sporting,Faro,864,2736,1,1
64,Masculino ,Benfica,Lisboa,912,880,1,1
25-34,Masculino ,FC Porto,Porto,1376,4812,1,1
-15,Masculino ,Sporting,Castelo Branco,428,13998,1,1
55-64,Masculino ,Benfica,Coimbra,612,46310,48,48
-15,Masculino ,Benfica,Castelo Branco,856,7314,1,1
35-44,Masculino ,FC Porto,Viseu,1344,3253,1,3
25-34,Masculino ,Benfica,Castelo Branco,1512,1425,1,1
55-64,Masculino ,Sporting,Braga,884,31709,12,5
45-54,Masculino ,Benfica,Lisboa,664,20638,2,4
35-44,Masculino ,Benfica,Lisboa,1404,17668,6,7
35-44,Masculino ,Sporting,Lisboa,788,28027,6,12
35-44,Masculino ,FC Porto,Aveiro,632,9548,1,2
45-54,Masculino ,Benfica,Porto,612,14867,1,6
35-44,Masculino ,Benfica,Coimbra,1052,2960,2,8
15-24,Masculino ,Sporting,Aveiro,896,2910,1,1
35-44,Masculino ,FC Porto,Beja,1144,50902,2,2
35-44,Masculino ,Sporting,Lisboa,484,11512,1,4
35-44,Masculino ,Benfica,Leiria,332,35318,8,3
64,Masculino ,Benfica,Leiria,516,6125,1,1
64,Masculino ,Sporting,Leiria,592,17085,8,13
64,Masculino ,Sporting,Aveiro,1484,42435,17,17
35-44,Masculino ,Benfica,Faro,612,10641,2,2
55-64,Masculino ,Sporting,Ilha da Madeira,736,15801,2,1
35-44,Masculino ,Benfica,Setúbal,576,29197,24,9
35-44,Masculino ,FC Porto,Porto,864,10593,1,1
35-44,Feminino  ,FC Porto,Porto,660,8693,1,1
35-44,Masculino ,Benfica,Ilha da Madeira,1008,12546,1,1
25-34,Masculino ,Benfica,Castelo Branco,668,6099,1,1
35-44,Masculino ,Sporting,Faro,1668,17838,2,4
35-44,Masculino ,Benfica,Beja,972,25770,2,9
25-34,Feminino  ,Benfica,Setúbal,828,2102,1,1
15-24,Feminino  ,Benfica,Santarém,572,3017,1,1
35-44,Feminino  ,Benfica,Setúbal,948,1420,1,1
35-44,Masculino ,Benfica,Faro,344,3791,1,4
45-54,Masculino ,Sporting,Porto,560,34366,9,8
25-34,Masculino ,Benfica,Coimbra,524,23525,1,1
-15,Masculino ,Sporting,Setúbal,564,11241,1,9
15-24,Masculino ,Benfica,Aveiro,436,16256,1,2
25-34,Feminino  ,FC Porto,Braga,548,24702,1,1
15-24,Masculino ,Benfica,Faro,408,14058,1,1
25-34,Masculino ,Benfica,Faro,1072,1873,1,2
45-54,Masculino ,Benfica,Viseu,1048,42642,14,12
55-64,Masculino ,Benfica,Lisboa,504,30332,5,5
55-64,Masculino ,Benfica,Lisboa,348,31393,8,8
35-44,Masculino ,Sporting,Santarém,696,9771,1,3
35-44,Masculino ,FC Porto,Porto,664,7760,2,6
15-24,Masculino ,Benfica,Aveiro,544,2500,1,1
35-44,Masculino ,Benfica,Castelo Branco,424,6550,1,1
15-24,Masculino ,FC Porto,Aveiro,668,33738,1,1
25-34,Feminino  ,Benfica,Évora,792,2403,1,1
25-34,Masculino ,Benfica,Leiria,772,2661,1,1
15-24,Masculino ,Benfica,Aveiro,428,5655,1,1
35-44,Masculino ,Sporting,Aveiro,204,25680,1,1
35-44,Masculino ,FC Porto,Aveiro,892,12718,1,1
35-44,Masculino ,Benfica,Lisboa,400,1015,1,1
25-34,Masculino ,FC Porto,Porto,924,13652,1,0
35-44,Masculino ,FC Porto,Porto,864,6655,1,1
35-44,Masculino ,FC Porto,Porto,448,28945,1,1
45-54,Masculino ,Benfica,Porto,1040,2962,1,2
25-34,Feminino  ,Benfica,Faro,444,16234,2,5
45-54,Masculino ,Benfica,Lisboa,1012,15504,1,1
35-44,Masculino ,FC Porto,Porto,792,13611,1,1
25-34,Masculino ,FC Porto,Braga,512,18842,1,1
35-44,Masculino ,FC Porto,Aveiro,792,10754,4,7
25-34,Masculino ,FC Porto,Porto,1032,26361,4,4
35-44,Masculino ,Sporting,Coimbra,416,16035,1,1
25-34,Masculino ,Benfica,Castelo Branco,1152,43,1,1
45-54,Masculino ,Benfica,Viseu,976,40847,8,7
35-44,Feminino  ,Sporting,Santarém,472,18295,1,1
25-34,Masculino ,Benfica,Castelo Branco,452,3299,1,1
25-34,Masculino ,FC Porto,Braga,1112,3086,1,4
25-34,Masculino ,Benfica,Beja,696,8433,1,1
15-24,Masculino ,Sporting,Beja,352,23458,1,1
25-34,Masculino ,FC Porto,Portalegre,520,25070,1,1
25-34,Masculino ,Benfica,Lisboa,816,10573,2,2
25-34,Feminino  ,FC Porto,Aveiro,416,14395,1,1
15-24,Masculino ,Benfica,Beja,860,30693,1,1
15-24,Masculino ,Benfica,Porto,792,8516,1,1
25-34,Masculino ,Sporting,Setúbal,232,27382,1,1
25-34,Masculino ,FC Porto,Aveiro,644,8038,1,1
45-54,Masculino ,Benfica,Castelo Branco,460,32661,6,6
25-34,Masculino ,FC Porto,Coimbra,1456,47805,4,1
25-34,Masculino ,FC Porto,Porto,836,20645,1,1
55-64,Masculino ,Sporting,Leiria,416,43361,5,4
15-24,Masculino ,Sporting,Lisboa,932,7514,1,1
15-24,Masculino ,Benfica,Braga,592,19464,1,1
-15,Masculino ,Sporting,Aveiro,196,33197,1,1
25-34,Masculino ,Benfica,Portalegre,1372,6965,1,1
25-34,Masculino ,Sporting,Braga,380,23676,1,1
15-24,Masculino ,Benfica,Ilha da Madeira,288,37185,5,1
15-24,Feminino  ,Benfica,Lisboa,560,17536,3,1
25-34,Masculino ,FC Porto,Aveiro,584,15108,1,1
25-34,Masculino ,Benfica,Portalegre,532,8538,1,1
25-34,Feminino  ,Sporting,Portalegre,964,1696,1,1
35-44,Masculino ,Benfica,Lisboa,624,408,1,1
35-44,Masculino ,Benfica,Lisboa,1116,3212,1,1
35-44,Masculino ,FC Porto,Lisboa,1116,758,1,1
25-34,Masculino ,Sporting,Lisboa,788,4954,1,1
35-44,Masculino ,Benfica,Beja,376,17416,1,1
25-34,Masculino ,Sporting,Santarém,280,27275,1,1
35-44,Masculino ,Benfica,Castelo Branco,328,3383,1,1
25-34,Masculino ,Benfica,Ilha de Porto Santo,520,1081,1,1
15-24,Masculino ,Sporting,Setúbal,908,19887,4,1
45-54,Masculino ,Benfica,Lisboa,392,9598,1,1
25-34,Masculino ,Benfica,Évora,484,11696,1,1
35-44,Masculino ,Sporting,Porto,420,18145,1,1
45-54,Masculino ,Benfica,Lisboa,512,2397,1,1
45-54,Feminino  ,FC Porto,Vila Real,312,16182,2,2
45-54,Masculino ,Benfica,Lisboa,592,7669,1,1
25-34,Masculino ,FC Porto,Lisboa,504,5629,1,1
45-54,Masculino ,Sporting,Vila Real,244,33689,1,1
35-44,Masculino ,FC Porto,Setúbal,344,13981,1,1
35-44,Masculino ,Benfica,Bragança,512,702,1,1
45-54,Masculino ,Benfica,Faro,384,760,1,1
25-34,Masculino ,FC Porto,Porto,588,2656,1,4
25-34,Masculino ,Benfica,Aveiro,572,5005,1,1
45-54,Masculino ,Benfica,Faro,796,4105,1,1
15-24,Masculino ,Benfica,Portalegre,432,3387,1,1
35-44,Masculino ,FC Porto,Porto,344,9935,1,1
25-34,Masculino ,Benfica,Porto,768,9500,1,1
15-24,Feminino  ,Sporting,Santarém,544,13511,1,1
35-44,Masculino ,Sporting,Lisboa,760,15606,1,1
25-34,Masculino ,Sporting,Santarém,456,17432,1,2
25-34,Masculino ,Benfica,Coimbra,288,6278,1,1
25-34,Masculino ,Benfica,Portalegre,944,9460,1,1
25-34,Feminino  ,FC Porto,Braga,492,1043,1,1
25-34,Masculino ,Benfica,Castelo Branco,428,2514,1,1
35-44,Masculino ,Benfica,Braga,240,11624,1,1
15-24,Masculino ,Benfica,Setúbal,244,4175,1,1
25-34,Feminino  ,Sporting,Lisboa,480,25421,2,2
45-54,Masculino ,Sporting,Lisboa,272,27655,1,1
55-64,Masculino ,FC Porto,Castelo Branco,304,10672,1,2
35-44,Masculino ,Benfica,Évora,212,1493,1,1
25-34,Masculino ,Benfica,Lisboa,424,4879,1,1
35-44,Masculino ,Benfica,Castelo Branco,448,3594,1,1
55-64,Masculino ,Benfica,Coimbra,656,48720,48,48
35-44,Masculino ,FC Porto,Lisboa,712,8789,3,4
25-34,Masculino ,Sporting,Lisboa,476,3324,1,1
25-34,Masculino ,FC Porto,Aveiro,552,4934,1,1
15-24,Masculino ,Benfica,Beja,344,7525,1,1
25-34,Masculino ,FC Porto,Aveiro,412,13123,1,1
25-34,Masculino ,Sporting,Faro,416,9775,1,1
15-24,Masculino ,FC Porto,Coimbra,284,19319,1,1
35-44,Masculino ,Benfica,Aveiro,516,4758,1,0
25-34,Feminino  ,FC Porto,Évora,324,45704,13,20
45-54,Masculino ,FC Porto,Aveiro,372,10787,1,1
15-24,Masculino ,Benfica,Porto,468,1333,1,1
25-34,Masculino ,Benfica,Castelo Branco,404,39097,1,1
25-34,Masculino ,FC Porto,Aveiro,240,39189,4,4
45-54,Masculino ,Benfica,Viana do Castelo,1212,19294,3,1
25-34,Masculino ,Benfica,Setúbal,236,53249,2,2
35-44,Masculino ,Benfica,Lisboa,208,7995,2,2
45-54,Masculino ,Benfica,Setúbal,760,38127,2,1
25-34,Feminino  ,FC Porto,Évora,316,58777,20,5
35-44,Masculino ,FC Porto,Aveiro,764,13233,2,1
35-44,Feminino  ,Benfica,Coimbra,488,2991,2,1
35-44,Masculino ,Benfica,Lisboa,336,9696,2,3
45-54,Masculino ,Sporting,Faro,456,10191,2,2
15-24,Feminino  ,Benfica,Leiria,372,6350,2,2
